iata,type,name,municipality,iso_country,latitude,longitude,scheduled,tz
GOY,small_airport,Tura Mountain Airport,Tura,RU,64.3335,100.4329,yes,Asia/Krasnoyarsk
GOZ,medium_airport,Gorna Oryahovitsa Airport,Gorna Oryahovitsa,BG,43.1514,25.7129,no,Europe/Sofia
GPA,medium_airport,Patras Araxos Agamemnon Airport,Patras,GR,38.1511,21.4256,yes,Europe/Athens
GPB,small_airport,Tancredo Thomas de Faria Airport,Guarapuava,BR,-25.3883,-51.5235,no,America/Sao_Paulo
GPD,small_airport,Mount Gordon Airport,Mount Gordon Mine,AU,-19.7726,139.4042,no,Australia/Brisbane
GPI,medium_airport,Guapi Airport,Guapi,CO,2.5701,-77.8980,yes,America/Bogota
GPL,medium_airport,Guapiles Airport,Pococi,CR,10.2172,-83.7970,no,America/Costa_Rica
GPN,medium_airport,Garden Point Airport,Pirlangimpi,AU,-11.3997,130.4256,no,Australia/Darwin
GPO,medium_airport,General Pico Airport,General Pico,AR,-35.6962,-63.7583,no,America/Argentina/Salta
GPS,medium_airport,Seymour Galapagos Ecological Airport,Isla Baltra,EC,-0.4538,-90.2659,yes,Pacific/Galapagos
GPT,medium_airport,Gulfport Biloxi International Airport,Gulfport,US,30.4056,-89.0698,yes,America/Chicago
GPZ,small_airport,Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids,US,47.2111,-93.5098,no,America/Chicago
GQQ,small_airport,Galion Municipal Airport,Galion,US,40.7534,-82.7238,no,America/New_York
GRA,small_airport,Gamarra Airport,Puerto Mosquito,CO,8.2020,-73.7653,no,America/Bogota
GRB,medium_airport,Austin Straubel International Airport,Green Bay,US,44.4835,-88.1308,yes,America/Chicago
GRC,small_airport,Grand Cess Airport,Grand Cess,LR,4.5710,-8.2076,no,Africa/Monrovia
GRD,small_airport,Greenwood County Airport,Greenwood,US,34.2487,-82.1591,no,America/New_York
GRE,small_airport,Greenville Airport,Greenville,US,38.8368,-89.3765,no,America/Chicago
GRF,medium_airport,Gray Army Air Field,Fort Lewis/Tacoma,US,47.0792,-122.5810,no,America/Los_Angeles
GRG,small_airport,Gardez Airport,Gardez,AF,33.6274,69.2370,no,Asia/Kabul
GRI,medium_airport,Central Nebraska Regional Airport,Grand Island,US,40.9675,-98.3096,yes,America/Chicago
